kabupaten,tahun,luas_panen_ha,produktivitas_ku_ha,produktivitas_ton_ha,produksi_ton,suhu_mean,suhu_max_mean,suhu_min_mean,n_hari_panas,n_hari_dingin,hujan_total,hujan_mean_harian,n_hari_hujan,n_hari_kering,n_hari_ekstrim,hujan_max_harian,n_run2_hujan_ekstrim,n_run3_hujan_ekstrim,maks_run_hujan_ekstrim,n_run3_kering,n_run7_kering,maks_run_kering,et0_total,et0_mean,neraca_air,radiasi_mean,rh_max_mean,rh_min_mean,angin_max_mean,n_hari_angin_kencang,label_hist
Bojonegoro,2019,128863.83,53.71,5.371,692073.16,27.672602739726027,33.13506849315068,23.67561643835616,88,0,1702.8000000000002,4.665205479452055,173,192,2,55.9,0,0,1,9,5,87,1735.4,4.754520547945206,-32.59999999999991,19.917150684931507,90.2904109589041,48.95068493150685,15.380273972602737,0,1
Tuban,2019,91199.72,57.01,5.701,519934.36,27.05260273972603,31.16657534246575,23.78849315068493,2,0,1761.1,4.824931506849315,193,172,0,40.8,0,0,0,13,6,53,1681.05,4.605616438356164,80.04999999999995,20.985780821917807,90.64109589041097,57.153424657534245,15.445479452054796,0,1
Lamongan,2019,140463.58000000002,59.78,5.978,839724.4299999999,27.90246575342466,32.20821917808219,24.276164383561643,40,0,1398.7000000000005,3.8320547945205488,161,204,0,34.6,0,0,0,8,5,56,1757.48,4.815013698630137,-358.77999999999975,20.75857534246575,89.92876712328767,52.035616438356165,16.873424657534247,0,1
Gresik,2019,61643.05,59.65,5.965,367717.66,27.66602739726028,31.16986301369863,24.614520547945208,11,0,1279.0,3.504109589041096,157,208,0,44.8,0,0,0,9,6,55,1717.54,4.70558904109589,-438.54,20.6918904109589,90.84931506849315,55.83835616438356,17.504931506849314,0,0
Bangkalan,2019,39854.38,50.59,5.059,201620.0,27.02383561643836,30.64575342465753,24.120273972602742,0,0,1713.1999999999998,4.693698630136986,217,148,1,62.2,0,0,1,16,8,47,1670.01,4.575369863013699,43.18999999999983,20.76424657534247,92.07123287671232,59.30684931506849,16.448219178082194,0,2
Sampang,2019,33052.04,47.27,4.727,156219.52,27.966849315068497,31.13808219178082,25.631780821917808,3,0,1106.0,3.03013698630137,146,219,0,40.9,0,0,0,10,7,50,1807.69,4.952575342465754,-701.69,20.73649315068493,86.81643835616438,57.37808219178082,18.413698630136988,0,1
Pamekasan,2019,20169.17,45.27,4.527,91313.32,27.063835616438357,30.69780821917809,24.19780821917809,6,0,1593.0000000000002,4.3643835616438365,146,219,2,95.4,0,0,1,7,4,53,1633.6400000000003,4.475726027397261,-40.6400000000001,20.52909589041096,92.9808219178082,57.31506849315068,14.397534246575344,0,0
Sumenep,2019,38411.97,48.45,4.845000000000001,186090.84,27.048493150684934,30.49369863013699,24.35452054794521,1,0,1621.5,4.442465753424657,164,201,1,52.4,0,0,1,11,6,51,1687.31,4.622767123287671,-65.80999999999995,21.37378082191781,93.55068493150684,60.95342465753425,14.706849315068494,0,0
Kota Kediri,2019,1396.04,50.38,5.038,7032.99,26.563013698630137,31.73506849315068,23.325479452054797,34,0,1938.3,5.310410958904109,163,202,3,227.2,0,0,1,10,6,32,1738.7,4.763561643835617,199.5999999999999,19.96564383561644,92.02191780821916,54.55616438356165,20.21698630136986,0,0
Kota Blitar,2019,911.72,66.74,6.674,6084.58,25.309315068493145,30.013698630136982,21.814520547945204,0,52,1744.4,4.779178082191781,186,179,2,93.9,0,0,1,13,7,37,1506.74,4.128054794520548,237.66000000000008,19.26569863013699,96.37260273972603,59.52054794520548,17.449863013698632,0,1
Kota Malang,2019,2019.48,68.88,6.888,13909.7,24.129315068493156,28.708493150684927,21.023013698630137,0,79,2714.5,7.436986301369863,178,187,8,308.8,0,0,1,12,9,38,1433.04,3.92613698630137,1281.46,19.117260273972605,95.27945205479452,58.52328767123288,11.5786301369863,0,2
